subject_id,subject_name,subject_fullname,main_field,sub_field,leaf_subject,depth,node_type,taxonomy_path,source
71,"Fizik, Katı Hal","Fen > Temel Bilimler > Fizik, Katı Hal",Fen,Temel Bilimler,"Fizik, Katı Hal",3,LEAF_SUBJECT,"Fen > Temel Bilimler > Fizik, Katı Hal",ARTICLE_SUBJECT_DATA
72,"Fizik, Matematik","Fen > Temel Bilimler > Fizik, Matematik",Fen,Temel Bilimler,"Fizik, Matematik",3,LEAF_SUBJECT,"Fen > Temel Bilimler > Fizik, Matematik",ARTICLE_SUBJECT_DATA
73,"Fizik, Nükleer","Fen > Temel Bilimler > Fizik, Nükleer",Fen,Temel Bilimler,"Fizik, Nükleer",3,LEAF_SUBJECT,"Fen > Temel Bilimler > Fizik, Nükleer",ARTICLE_SUBJECT_DATA
74,Fizikokimya,Fen > Temel Bilimler > Fizikokimya,Fen,Temel Bilimler,Fizikokimya,3,LEAF_SUBJECT,Fen > Temel Bilimler > Fizikokimya,ARTICLE_SUBJECT_DATA
75,"Fizik, Partiküller ve Alanlar","Fen > Temel Bilimler > Fizik, Partiküller ve Alanlar",Fen,Temel Bilimler,"Fizik, Partiküller ve Alanlar",3,LEAF_SUBJECT,"Fen > Temel Bilimler > Fizik, Partiküller ve Alanlar",ARTICLE_SUBJECT_DATA
76,"Fizik, Uygulamalı","Fen > Temel Bilimler > Fizik, Uygulamalı",Fen,Temel Bilimler,"Fizik, Uygulamalı",3,LEAF_SUBJECT,"Fen > Temel Bilimler > Fizik, Uygulamalı",ARTICLE_SUBJECT_DATA
77,Fizyoloji,Fen > Tıp > Fizyoloji,Fen,Tıp,Fizyoloji,3,LEAF_SUBJECT,Fen > Tıp > Fizyoloji,ARTICLE_SUBJECT_DATA
78,Folklor,Sosyal > Sosyal > Folklor,Sosyal,Sosyal,Folklor,3,LEAF_SUBJECT,Sosyal > Sosyal > Folklor,ARTICLE_SUBJECT_DATA
79,Gastroenteroloji ve Hepatoloji,Fen > Tıp > Gastroenteroloji ve Hepatoloji,Fen,Tıp,Gastroenteroloji ve Hepatoloji,3,LEAF_SUBJECT,Fen > Tıp > Gastroenteroloji ve Hepatoloji,ARTICLE_SUBJECT_DATA
80,Genel ve Dahili Tıp,Fen > Tıp > Genel ve Dahili Tıp,Fen,Tıp,Genel ve Dahili Tıp,3,LEAF_SUBJECT,Fen > Tıp > Genel ve Dahili Tıp,ARTICLE_SUBJECT_DATA
81,Genetik ve Kalıtım,Fen > Temel Bilimler > Genetik ve Kalıtım,Fen,Temel Bilimler,Genetik ve Kalıtım,3,LEAF_SUBJECT,Fen > Temel Bilimler > Genetik ve Kalıtım,ARTICLE_SUBJECT_DATA
82,Geriatri ve Gerontoloji,Fen > Tıp > Geriatri ve Gerontoloji,Fen,Tıp,Geriatri ve Gerontoloji,3,LEAF_SUBJECT,Fen > Tıp > Geriatri ve Gerontoloji,ARTICLE_SUBJECT_DATA
83,Gıda Bilimi ve Teknolojisi,Fen > Mühendislik > Gıda Bilimi ve Teknolojisi,Fen,Mühendislik,Gıda Bilimi ve Teknolojisi,3,LEAF_SUBJECT,Fen > Mühendislik > Gıda Bilimi ve Teknolojisi,ARTICLE_SUBJECT_DATA
84,Görüntüleme Bilimi ve Fotoğraf Teknolojisi,Fen > Mühendislik > Görüntüleme Bilimi ve Fotoğraf Teknolojisi,Fen,Mühendislik,Görüntüleme Bilimi ve Fotoğraf Teknolojisi,3,LEAF_SUBJECT,Fen > Mühendislik > Görüntüleme Bilimi ve Fotoğraf Teknolojisi,ARTICLE_SUBJECT_DATA
85,Göz Hastalıkları,Fen > Tıp > Göz Hastalıkları,Fen,Tıp,Göz Hastalıkları,3,LEAF_SUBJECT,Fen > Tıp > Göz Hastalıkları,ARTICLE_SUBJECT_DATA
86,Halkla İlişkiler,Sosyal > Sosyal > Halkla İlişkiler,Sosyal,Sosyal,Halkla İlişkiler,3,LEAF_SUBJECT,Sosyal > Sosyal > Halkla İlişkiler,ARTICLE_SUBJECT_DATA
87,Halk ve Çevre Sağlığı,Fen > Tıp > Halk ve Çevre Sağlığı,Fen,Tıp,Halk ve Çevre Sağlığı,3,LEAF_SUBJECT,Fen > Tıp > Halk ve Çevre Sağlığı,ARTICLE_SUBJECT_DATA
88,Hematoloji,Fen > Tıp > Hematoloji,Fen,Tıp,Hematoloji,3,LEAF_SUBJECT,Fen > Tıp > Hematoloji,ARTICLE_SUBJECT_DATA
89,Hemşirelik,Sosyal > Sosyal > Hemşirelik,Sosyal,Sosyal,Hemşirelik,3,LEAF_SUBJECT,Sosyal > Sosyal > Hemşirelik,ARTICLE_SUBJECT_DATA
90,Hukuk,Sosyal > Sosyal > Hukuk,Sosyal,Sosyal,Hukuk,3,LEAF_SUBJECT,Sosyal > Sosyal > Hukuk,ARTICLE_SUBJECT_DATA
91,Hücre Biyolojisi,Fen > Tıp > Hücre Biyolojisi,Fen,Tıp,Hücre Biyolojisi,3,LEAF_SUBJECT,Fen > Tıp > Hücre Biyolojisi,ARTICLE_SUBJECT_DATA
92,Hücre ve Doku Mühendisliği,Fen > Mühendislik > Hücre ve Doku Mühendisliği,Fen,Mühendislik,Hücre ve Doku Mühendisliği,3,LEAF_SUBJECT,Fen > Mühendislik > Hücre ve Doku Mühendisliği,ARTICLE_SUBJECT_DATA
93,İktisat,Sosyal > Sosyal > İktisat,Sosyal,Sosyal,İktisat,3,LEAF_SUBJECT,Sosyal > Sosyal > İktisat,ARTICLE_SUBJECT_DATA
94,İletişim,Sosyal > Sosyal > İletişim,Sosyal,Sosyal,İletişim,3,LEAF_SUBJECT,Sosyal > Sosyal > İletişim,ARTICLE_SUBJECT_DATA
95,İmalat Mühendisliği,Fen > Mühendislik > İmalat Mühendisliği,Fen,Mühendislik,İmalat Mühendisliği,3,LEAF_SUBJECT,Fen > Mühendislik > İmalat Mühendisliği,ARTICLE_SUBJECT_DATA
96,İmmünoloji,Fen > Tıp > İmmünoloji,Fen,Tıp,İmmünoloji,3,LEAF_SUBJECT,Fen > Tıp > İmmünoloji,ARTICLE_SUBJECT_DATA
97,İnşaat Mühendisliği,Fen > Mühendislik > İnşaat Mühendisliği,Fen,Mühendislik,İnşaat Mühendisliği,3,LEAF_SUBJECT,Fen > Mühendislik > İnşaat Mühendisliği,ARTICLE_SUBJECT_DATA
98,İnşaat ve Yapı Teknolojisi,Fen > Mühendislik > İnşaat ve Yapı Teknolojisi,Fen,Mühendislik,İnşaat ve Yapı Teknolojisi,3,LEAF_SUBJECT,Fen > Mühendislik > İnşaat ve Yapı Teknolojisi,ARTICLE_SUBJECT_DATA
